aggregate_type,origin,production_process,ambient_temp_c,ambient_humidity_pct,material_density,coarse_aggregate_pct,sand_pct,sand_rate,particle_shape_index,crushing_value_pct,flaky_particle_pct,mud_content_pct,clay_lump_pct,water_binder_ratio,cement_content,fly_ash_content,slag_powder_content,total_binder,mix_ratio,water_content,admixture_content,mix_design_accuracy_pct,concrete_strength_mpa,quality_pass,quality_pass_rate_pct,pavement_performance_score,structural_strength_mpa
石灰岩,产地A,水洗工艺,19.769394574687478,61.47298000389084,2.714641442179334,67.40932971666571,32.59067028333429,0.31676071708166625,1.0,10.80036220285217,4.220207303454078,0.5346308457964408,0.08784558417717812,0.3740629215394654,395.7578168752374,69.33178917832294,47.05186917280174,512.1414752263621,0.7727509604652032,191.57313646470476,8.071027402267013,94.2627079664877,65.46348451372145,1,120.0,99.82449404750665,65.30031236390559
砂岩,产地A,水洗工艺,27.367037078562333,53.19505952235952,2.555978222796846,67.30881434962606,32.69118565037394,0.3877187884818692,1.0,13.924873019338818,7.717033728278354,1.646495525198128,0.35574367464869255,0.46802601436324043,342.45499651387536,53.55817970503554,35.88794732235322,431.9011235412641,0.7929013791536409,202.14096145002335,6.400662294554416,95.58448268685545,45.34005203171997,1,120.0,84.79812945961024,39.114109361596604
玄武岩,产地D,水洗工艺,26.454736821697427,66.14944639031378,2.621530520231266,65.07793476912394,34.92206523087606,0.34113035061592667,1.0,17.016215172146488,4.816068828820796,1.3139294412524924,0.22523455462312986,0.512702356024717,335.1329227442239,49.41854287157336,32.87474561937722,417.4262112351745,0.8028554837334179,214.01540196674517,5.99965709941845,94.21795954115203,37.85011399642553,1,120.0,84.21086388271026,37.56107721679482
石灰岩,产地A,破碎工艺,29.78919815554134,65.09683077242329,2.668155880553052,53.83717283743783,46.16282716256217,0.45,0.8855722434227635,15.346976714292467,8.744998434648323,1.956528239367505,0.6599424611490341,0.5003718410743916,338.52503081092,50.753579119404954,33.83362145441723,423.11223138474213,0.8000833010735968,211.7134461990774,6.133554050011697,94.09576909487836,36.70986010818123,1,120.0,77.05470210939973,33.260068443619886
花岗岩,产地A,破碎工艺,21.045591041527175,68.11705571613265,2.810356971838928,77.54155374373775,22.45844625626225,0.25,1.0,12.970144908030573,10.156179006147372,2.5201254560378277,0.7922313358797353,0.3563850339646116,304.0636682497277,54.34316891511521,36.95658083321481,395.3634179980577,0.769073855617116,140.90160515160272,6.300570599446097,91.18373887962933,53.79625589302209,1,120.0,88.55734134988623,52.9635134471814
花岗岩,产地C,破碎工艺,25.170040481140735,63.31918447707887,2.7180363426424075,64.99864738611606,35.00135261388394,0.3274141255017256,0.9773229865720865,12.085354260962035,5.051593612454671,1.4170926116142362,0.6546474011743477,0.4617490567565132,422.3454972410229,66.58284731497515,44.657816770718576,533.5861613267166,0.7915225840769498,246.38290669094005,7.941101078961573,96.01460527582604,45.71890134412456,1,120.0,90.88446777918111,45.748136239478086
花岗岩,产地B,筛分工艺,18.174891022866824,89.35406206388468,2.843906061304974,67.93789965075047,32.06210034924953,0.37610287487536015,1.0,18.29148886371791,9.565308185331777,2.2186714894615833,0.7168627302736993,0.39581499773998496,406.98143773078806,69.52748806157147,47.05834807454376,523.5672738669033,0.7773240575656135,207.2357793223584,8.13720404718103,90.99586107150202,47.68842141481556,1,120.0,88.41829797826632,46.90330888530082
玄武岩,产地C,筛分工艺,28.507473909623574,49.72076234989261,2.6358801606502116,62.72553917355345,37.27446082644655,0.3815520020369314,1.0,13.12726074945993,7.4078794616804196,1.2282463771973842,0.29155176012389317,0.5308840012522267,289.34850855209766,41.61502834272407,27.59441490014183,358.55795179496357,0.8069783618062322,190.35268012971326,5.088353258704657,94.78821083298342,34.9284921572397,1,116.42830719079902,82.58953592738298,34.37849546489207
石灰岩,产地A,水洗工艺,27.59435590220061,42.89396645563485,2.6624327265198313,74.85965171720316,25.140348282796836,0.25,1.0,16.1304511565869,4.101904342593789,0.2,0.0,0.437094982178117,390.1974070986275,63.43868603431246,42.7015469370015,496.3376400699415,0.7861531659046507,216.9466919406997,7.509117061956862,91.7034040032395,55.222859491367394,1,120.0,92.68116882654431,54.772190978267716
玄武岩,产地B,破碎工艺,27.479025105137854,56.069097992985384,2.826004587049555,70.71714468518662,29.282855314813375,0.33291281116183835,1.0,12.276346865283067,7.335486326178543,2.3529590986947704,0.8187216323287249,0.32843893294071325,257.74974680338175,47.5064263396771,32.40794791971555,337.66412106277437,0.7633317569901484,110.90204361422143,5.475429924581886,94.20205789533046,62.45855744354251,1,120.0,91.74433852610713,61.267950935989
